排名,高校名称,高校英文名称,高校等级,所在省份,高校类型,总分,办学层次,学科水平,办学资源,师资规模与结构,人才培养,科学研究,服务社会,高端人才,重大项目与成果,国际竞争力
442,宝鸡文理学院,Baoji University of Arts and Sciences,,陕西,师范,115.9,,,,,,,,,,
442,重庆第二师范学院,Chongqing University of Education,,重庆,师范,115.9,,,,,,,,,,
442,乐山师范学院,Leshan Normal University,,四川,师范,115.9,,,,,,,,,,
445,淮南师范学院,Huainan Normal University,,安徽,师范,115.8,,,,,,,,,,
445,温州理工学院,Wenzhou University of Technology,,浙江,理工,115.8,,,,,,,,,,
447,安阳师范学院,Anyang Normal University,,河南,师范,115.7,,,,,,,,,,
448,西昌学院,Xichang College,,四川,综合,115.5,,,,,,,,,,
449,广州航海学院,Guangzhou Maritime University,,广东,理工,115.3,,,,,,,,,,
450,河南城建学院,Henan University of Urban Construction,,河南,理工,115.1,,,,,,,,,,
451,齐鲁师范学院,Qilu Normal University,,山东,师范,115,,,,,,,,,,
452,湖州学院,Huzhou College,,浙江,师范,114.8,,,,,,,,,,
453,天水师范学院,Tianshui Normal University,,甘肃,师范,114.6,,,,,,,,,,
454,湖南人文科技学院,"Hunan University of Humanities, Science and Technology",,湖南,师范,114.4,,,,,,,,,,
454,唐山师范学院,Tangshan Normal University,,河北,师范,114.4,,,,,,,,,,
456,商丘师范学院,Shangqiu Normal University,,河南,师范,114.3,,,,,,,,,,
457,成都工业学院,Chengdu Technological University,,四川,理工,114.2,,,,,,,,,,
457,六盘水师范学院,Liupanshui Normal University,,贵州,师范,114.2,,,,,,,,,,
459,巢湖学院,Chaohu University,,安徽,师范,114,,,,,,,,,,
460,贺州学院,Hezhou University,,广西,综合,113.9,,,,,,,,,,
460,内蒙古科技大学包头师范学院,Baotou Teachers' College,,内蒙古,综合,113.9,,,,,,,,,,
460,平顶山学院,Pingdingshan University,,河南,师范,113.9,,,,,,,,,,
463,南昌师范学院,Nanchang Normal University,,江西,师范,113.6,,,,,,,,,,
463,渭南师范学院,Weinan Normal University,,陕西,师范,113.6,,,,,,,,,,
465,宁夏师范大学,Ningxia Normal University,,宁夏,师范,113.2,,,,,,,,,,
466,湖南工学院,Hunan Institute of Technology,,湖南,理工,113.1,,,,,,,,,,
467,鞍山师范学院,Anshan Normal University,,辽宁,师范,112.8,,,,,,,,,,
