school_code,school_name,province,city,school_nature,education_level,school_type,is_public
A752,宁夏医科大学,,,公办,本科,,True
A753,宁夏师范学院,,,公办,本科,,True
A755,新疆大学,,,公办,本科,,True
A757,塔里木大学,,,公办,本科,,True
A758,新疆农业大学,,,公办,本科,,True
A759,石河子大学,,,公办,本科,,True
A760,新疆医科大学,,,公办,本科,,True
A762,新疆师范大学,,,公办,本科,,True
A763,喀什大学,,,公办,本科,,True
A764,伊犁师范大学,,,公办,本科,,True
A765,和田师范专科学校,,,公办,本科,,True
A766,新疆财经大学,,,公办,本科,,True
A768,新疆艺术学院,,,公办,本科,,True
A792,天津城建大学,,,公办,本科,,True
A798,河北科技师范学院,,,公办,本科,,True
A809,山西中医药大学,,,公办,本科,,True
A812,吕梁学院,,,公办,本科,,True
A819,呼伦贝尔学院,,,公办,本科,,True
A822,广东白云学院,,,公办,本科,,True
A823,长沙医学院,,,公办,本科,,True
A824,河南职业技术学院,,,公办,本科,,True
A825,齐鲁医药学院,,,公办,本科,,True
A826,明达职业技术学院,,,公办,本科,,True
A827,长沙民政职业技术学院,,,公办,本科,,True
A830,湖南工业职业技术学院,,,公办,本科,,True
A832,山东商业职业技术学院,,,公办,本科,,True
A833,广东轻工职业技术大学,,,公办,本科,,True
A834,武汉职业技术学院,,,公办,本科,,True
A835,漯河职业技术学院,,,公办,本科,,True
A841,辽宁对外经贸学院,,,公办,本科,,True
A842,三门峡职业技术学院,,,公办,本科,,True
A843,郑州铁路职业技术学院,,,公办,本科,,True
A845,大连职业技术学院,,,公办,本科,,True
A846,江西科技学院,,,公办,本科,,True
A848,无锡职业技术学院,,,公办,本科,,True
A849,江苏建筑职业技术学院,,,公办,本科,,True
A850,南京工业职业技术大学,,,公办,本科,,True
A851,上海东海职业技术学院,,,公办,本科,,True
A852,上海工商职业技术学院,,,公办,本科,,True
A853,北京工业职业技术学院,,,公办,本科,,True
A856,上海工程技术大学,,,公办,本科,,True
A857,北京信息职业技术学院,,,公办,本科,,True
A858,北京电子科技职业学院,,,公办,本科,,True
A859,天津天狮学院,,,公办,本科,,True
A867,广西机电职业技术学院,,,公办,本科,,True
A868,青岛滨海学院,,,公办,本科,,True
A869,安徽职业技术学院,,,公办,本科,,True
A872,伊春职业学院,,,公办,本科,,True
A876,浙江万里学院,,,公办,本科,,True
A878,安徽建筑大学,,,公办,本科,,True
A879,安徽科技学院,,,公办,本科,,True
A888,江西医学高等专科学校,,,公办,本科,,True
A894,景德镇学院,,,公办,本科,,True
A895,萍乡学院,,,公办,本科,,True
A904,枣庄学院,,,公办,本科,,True
A908,山东工艺美术学院,,,公办,本科,,True
A918,黄淮学院,,,公办,本科,,True
A919,平顶山学院,,,公办,本科,,True
A920,湖北理工学院,,,公办,本科,,True
A927,湖北科技学院,,,公办,本科,,True
A929,湖北医药学院,,,公办,本科,,True
A955,黄冈职业技术学院,,,公办,本科,,True
A958,江苏工程职业技术学院,,,公办,本科,,True
A959,安徽三联学院,,,公办,本科,,True
A963,淮北职业技术学院,,,公办,本科,,True
A964,吉林外国语大学,,,公办,本科,,True
A976,贵阳学院,,,公办,本科,,True
A977,六盘水师范学院,,,公办,本科,,True
A994,新疆工程学院,,,公办,本科,,True
A995,新疆农业职业技术学院,,,公办,本科,,True
A997,昌吉学院,,,公办,本科,,True
B032,天津市职业大学,,,民办,本科,,False
B033,唐山学院,,,民办,本科,,False
B034,邯郸职业技术学院,,,民办,本科,,False
B035,沈阳大学,,,民办,本科,,False
B046,牡丹江大学,,,民办,本科,,False
B047,上海立信会计金融学院,,,民办,本科,,False
B048,金陵科技学院,,,民办,本科,,False
B049,淮阴工学院,,,民办,本科,,False
B050,连云港职业技术学院,,,民办,本科,,False
B051,镇江市高等专科学校,,,民办,本科,,False
B052,南通职业大学,,,民办,本科,,False
